,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees,Level 14 support,Level 14 trees,Level 15 support,Level 15 trees
0,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5;18;17;19;16;20,6.0,86.0,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 54, 56, 57, 58, 60, 61, 63, 64, 65, 66, 67, 69, 70, 71, 72, 73, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 88, 89, 90, 93, 94, 95, 96, 97, 98}",83.0,"{1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 54, 56, 57, 58, 60, 63, 64, 65, 66, 67, 69, 70, 71, 72, 73, 75, 76, 78, 79, 80, 81, 82, 83, 84, 85, 88, 89, 90, 93, 94, 95, 96, 97, 98}",78.0,"{1, 2, 3, 5, 6, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 36, 37, 38, 39, 40, 41, 42, 43, 45, 46, 48, 49, 50, 51, 52, 54, 56, 57, 58, 60, 63, 64, 65, 66, 67, 69, 70, 71, 72, 73, 75, 76, 78, 79, 80, 81, 82, 83, 84, 85, 88, 89, 90, 93, 94, 95, 96, 97, 98}",66.0,"{1, 2, 3, 5, 6, 9, 10, 11, 12, 13, 15, 19, 20, 21, 22, 23, 24, 26, 28, 29, 30, 31, 32, 33, 37, 38, 39, 41, 42, 43, 45, 46, 48, 49, 50, 51, 52, 54, 56, 57, 58, 60, 63, 65, 66, 69, 70, 71, 72, 73, 75, 76, 78, 80, 81, 82, 83, 84, 89, 90, 93, 94, 95, 96, 97, 98}",39.0,"{3, 6, 10, 11, 26, 29, 31, 32, 37, 38, 39, 41, 42, 43, 45, 46, 48, 49, 50, 52, 54, 58, 63, 66, 69, 70, 71, 72, 73, 75, 80, 81, 82, 83, 90, 93, 94, 95, 98}",9.0,"{32, 38, 39, 75, 48, 82, 26, 29, 63}",,,,,,,,,,,,,,,,,,,,
1,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5,2.0,62.0,"{1, 2, 3, 6, 9, 10, 11, 12, 13, 15, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 37, 38, 39, 41, 42, 43, 45, 46, 48, 49, 50, 51, 54, 57, 60, 63, 65, 66, 67, 69, 70, 72, 73, 75, 76, 80, 81, 82, 83, 84, 85, 93, 94, 95, 96, 97, 98}",4.0,"{24, 33, 29, 6}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18;17;19;16;20,2.0,37.0,"{1, 5, 6, 9, 10, 11, 14, 16, 20, 27, 29, 31, 33, 36, 39, 41, 42, 46, 47, 48, 50, 52, 54, 63, 64, 65, 68, 72, 76, 79, 80, 81, 82, 90, 93, 95, 96}",7.0,"{64, 5, 76, 79, 27, 31, 63}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4;7;8;9;1;10;3;14;12;2;6;13;15;5,2.0,68.0,"{1, 3, 4, 5, 6, 8, 10, 11, 12, 13, 15, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 37, 38, 39, 41, 42, 43, 44, 45, 46, 48, 49, 51, 52, 54, 55, 56, 57, 58, 60, 62, 63, 65, 67, 69, 72, 73, 75, 76, 78, 80, 81, 82, 83, 84, 85, 89, 90, 93, 94, 95, 96, 97, 98}",17.0,"{96, 65, 6, 39, 72, 73, 75, 12, 82, 20, 21, 22, 54, 93, 58, 29, 63}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18;17;19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16;20,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4;7;8;9;1;10;3,1.0,24.0,"{3, 10, 11, 19, 24, 26, 29, 32, 33, 38, 41, 49, 54, 57, 58, 63, 69, 75, 76, 80, 81, 90, 94, 96}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14;12;2;6;13;15;5,1.0,45.0,"{2, 6, 10, 11, 12, 19, 21, 23, 25, 26, 27, 29, 30, 32, 33, 38, 39, 41, 42, 43, 45, 46, 48, 49, 50, 51, 52, 54, 57, 60, 63, 67, 69, 71, 72, 73, 75, 78, 80, 81, 82, 83, 84, 93, 94}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18;17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
