,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees,Level 14 support,Level 14 trees,Level 15 support,Level 15 trees,Level 16 support,Level 16 trees,Level 17 support,Level 17 trees,Level 18 support,Level 18 trees,Level 19 support,Level 19 trees,Level 20 support,Level 20 trees
0,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5;18;17;19;16;20,5.0,88.0,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 54, 55, 56, 57, 58, 60, 61, 62, 63, 64, 65, 66, 67, 69, 70, 71, 72, 73, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 88, 89, 90, 93, 94, 95, 96, 97, 98}",81.0,"{1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 36, 37, 38, 39, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51, 52, 54, 55, 56, 57, 58, 60, 63, 64, 65, 66, 67, 69, 70, 71, 72, 73, 75, 76, 78, 79, 80, 81, 82, 83, 84, 85, 88, 89, 90, 93, 94, 95, 96, 97, 98}",69.0,"{1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 15, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 37, 38, 39, 41, 42, 43, 45, 46, 48, 49, 50, 51, 52, 54, 56, 57, 58, 60, 63, 64, 65, 66, 69, 70, 71, 72, 73, 75, 76, 78, 79, 80, 81, 82, 83, 84, 89, 90, 93, 94, 95, 96, 97, 98}",42.0,"{1, 3, 5, 6, 10, 11, 19, 23, 26, 28, 29, 31, 32, 37, 38, 39, 41, 42, 46, 48, 50, 52, 54, 58, 63, 65, 69, 71, 72, 73, 75, 76, 78, 80, 81, 82, 83, 90, 93, 95, 96, 98}",10.0,"{32, 96, 58, 5, 75, 82, 54, 26, 29, 31}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5,1.0,66.0,"{1, 2, 3, 5, 6, 9, 10, 11, 12, 13, 15, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 32, 33, 37, 38, 39, 41, 42, 43, 44, 46, 48, 49, 50, 51, 52, 54, 56, 57, 58, 60, 63, 65, 66, 67, 69, 70, 71, 72, 73, 75, 76, 78, 80, 81, 82, 83, 84, 90, 93, 94, 95, 96, 97, 98}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18;17;19;16;20,1.0,39.0,"{1, 2, 3, 6, 9, 10, 12, 14, 17, 18, 20, 21, 22, 27, 29, 31, 33, 36, 41, 42, 46, 47, 48, 52, 54, 56, 63, 64, 65, 68, 81, 82, 88, 89, 90, 93, 94, 95, 96}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4;7;8;9;1;10;3;14;12;2;6;13;15;5,2.0,73.0,"{1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 13, 15, 16, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51, 52, 54, 57, 58, 60, 62, 63, 65, 66, 67, 69, 70, 72, 73, 75, 76, 78, 80, 81, 82, 83, 84, 85, 89, 90, 93, 94, 95, 96, 97, 98}",27.0,"{6, 12, 13, 15, 23, 24, 26, 29, 31, 32, 33, 41, 43, 45, 46, 48, 63, 65, 66, 69, 70, 76, 80, 82, 93, 95, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18;17;19,2.0,23.0,"{1, 6, 9, 16, 20, 29, 31, 33, 36, 46, 52, 63, 64, 65, 72, 76, 79, 80, 81, 82, 93, 95, 96}",7.0,"{1, 6, 72, 76, 79, 16, 82}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16;20,1.0,6.0,"{33, 5, 41, 47, 50, 27}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4;7;8;9;1;10;3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14;12;2;6;13;15;5,2.0,48.0,"{1, 6, 10, 11, 12, 15, 20, 21, 22, 23, 25, 26, 27, 29, 30, 32, 33, 37, 38, 39, 41, 42, 43, 45, 46, 48, 49, 50, 51, 52, 54, 57, 60, 63, 67, 69, 72, 73, 75, 80, 81, 82, 83, 84, 85, 93, 94, 98}",15.0,"{38, 6, 39, 72, 75, 45, 46, 49, 51, 93, 21, 54, 25, 60, 29}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18;17,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,19,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,16,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7;8;9;1;10;3,2.0,25.0,"{3, 11, 22, 24, 26, 29, 33, 37, 38, 42, 43, 46, 49, 54, 57, 58, 63, 66, 69, 75, 76, 80, 81, 82, 94}",14.0,"{66, 3, 37, 38, 69, 75, 80, 81, 82, 22, 54, 57, 29, 63}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14;12;2,1.0,8.0,"{2, 38, 6, 39, 11, 75, 19, 93}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6;13;15;5,1.0,38.0,"{3, 6, 10, 11, 12, 23, 25, 26, 27, 29, 30, 32, 37, 38, 39, 41, 42, 43, 45, 48, 49, 51, 54, 57, 63, 67, 71, 72, 73, 75, 80, 81, 82, 83, 84, 85, 93, 94}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,17,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7;8;9,1.0,13.0,"{33, 3, 37, 38, 75, 46, 81, 24, 57, 26, 29, 94, 63}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1;10;3,1.0,7.0,"{96, 69, 75, 13, 54, 22, 58}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,14;12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,6;13,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,15;5,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,7;8,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,9,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
