,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees,Level 14 support,Level 14 trees,Level 15 support,Level 15 trees,Level 16 support,Level 16 trees,Level 17 support,Level 17 trees,Level 18 support,Level 18 trees,Level 19 support,Level 19 trees,Level 20 support,Level 20 trees
10,19,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,16,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7;8;9;1;10;3,1.0,27.0,"{3, 5, 7, 10, 13, 14, 15, 27, 29, 30, 35, 38, 41, 45, 47, 61, 63, 65, 69, 74, 78, 81, 83, 86, 89, 92, 94}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14;12;2,1.0,24.0,"{1, 2, 9, 14, 20, 21, 27, 28, 36, 41, 42, 44, 45, 50, 58, 60, 63, 65, 70, 75, 76, 79, 86, 89}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6;13;15;5,2.0,42.0,"{1, 2, 3, 5, 8, 12, 13, 14, 15, 17, 20, 21, 24, 28, 29, 33, 35, 36, 45, 46, 47, 49, 58, 61, 63, 65, 68, 70, 71, 74, 78, 80, 83, 86, 88, 89, 90, 91, 92, 94, 97, 98}",32.0,"{1, 5, 8, 12, 14, 15, 17, 20, 21, 24, 28, 29, 33, 36, 45, 46, 47, 58, 61, 63, 65, 68, 71, 78, 80, 83, 86, 88, 89, 90, 91, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,17,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7;8;9,1.0,4.0,"{89, 10, 92, 74}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
