,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees,Level 14 support,Level 14 trees,Level 15 support,Level 15 trees,Level 16 support,Level 16 trees,Level 17 support,Level 17 trees,Level 18 support,Level 18 trees,Level 19 support,Level 19 trees,Level 20 support,Level 20 trees,Level 21 support,Level 21 trees,Level 22 support,Level 22 trees,Level 23 support,Level 23 trees,Level 24 support,Level 24 trees,Level 25 support,Level 25 trees,Level 26 support,Level 26 trees,Level 27 support,Level 27 trees,Level 28 support,Level 28 trees,Level 29 support,Level 29 trees
0,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5;18;17;19;16;20,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5,4.0,73.0,"{1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 13, 15, 16, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 37, 38, 39, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 54, 55, 56, 57, 58, 60, 63, 65, 66, 67, 69, 70, 71, 72, 73, 75, 76, 78, 80, 81, 82, 83, 84, 85, 89, 90, 93, 94, 95, 96, 97, 98}",30.0,"{1, 9, 11, 19, 22, 26, 29, 32, 38, 41, 44, 49, 50, 54, 56, 58, 60, 63, 65, 69, 72, 75, 76, 78, 81, 82, 83, 93, 95, 96}",19.0,"{11, 22, 29, 32, 38, 41, 49, 50, 54, 60, 63, 65, 69, 72, 75, 76, 83, 93, 95}",15.0,"{32, 65, 69, 38, 72, 41, 11, 75, 83, 93, 54, 60, 29, 95, 63}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18;17;19;16;20,2.0,38.0,"{2, 3, 5, 6, 9, 11, 12, 14, 17, 18, 20, 21, 29, 31, 33, 36, 39, 41, 42, 47, 48, 50, 54, 56, 61, 63, 64, 65, 72, 76, 77, 79, 80, 81, 82, 93, 94, 95}",7.0,"{33, 5, 41, 76, 47, 20, 29}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4;7;8;9;1;10;3;14;12;2;6;13;15;5,1.0,74.0,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 48, 49, 51, 52, 54, 55, 56, 57, 58, 62, 63, 65, 66, 67, 69, 70, 71, 73, 75, 76, 78, 80, 81, 82, 83, 84, 89, 90, 93, 94, 95, 96, 97, 98}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18;17;19,1.0,26.0,"{1, 2, 9, 14, 16, 17, 20, 21, 29, 31, 33, 36, 42, 46, 48, 52, 63, 65, 68, 72, 76, 80, 81, 82, 95, 96}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16;20,1.0,9.0,"{33, 5, 41, 42, 47, 50, 90, 27, 95}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4;7;8;9;1;10;3,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14;12;2;6;13;15;5,1.0,42.0,"{2, 3, 6, 12, 15, 19, 20, 21, 22, 23, 29, 30, 32, 37, 38, 39, 41, 42, 43, 45, 48, 49, 50, 51, 52, 54, 57, 63, 67, 71, 72, 73, 75, 78, 80, 81, 82, 84, 85, 93, 94, 98}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18;17,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,19,1.0,7.0,"{1, 42, 14, 48, 21, 90, 29}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,16,1.0,4.0,"{88, 41, 3, 63}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20,1.0,13.0,"{64, 33, 96, 5, 6, 10, 42, 46, 18, 50, 22, 56, 89}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,1.0,23.0,"{6, 9, 10, 19, 20, 23, 26, 28, 32, 41, 49, 51, 52, 54, 60, 65, 66, 69, 70, 76, 90, 95, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7;8;9;1;10;3,3.0,29.0,"{3, 11, 13, 15, 22, 24, 26, 29, 31, 33, 37, 38, 42, 43, 48, 49, 54, 57, 58, 63, 66, 69, 75, 76, 80, 81, 82, 94, 96}",18.0,"{96, 66, 3, 69, 38, 11, 75, 13, 76, 15, 81, 82, 22, 54, 24, 57, 58, 63}",9.0,"{3, 69, 38, 81, 54, 22, 57, 58, 63}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14;12;2,1.0,18.0,"{2, 98, 6, 38, 39, 73, 11, 75, 46, 15, 78, 19, 20, 52, 84, 25, 60, 93}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6;13;15;5,1.0,40.0,"{1, 3, 6, 11, 12, 21, 22, 23, 26, 27, 29, 32, 33, 37, 38, 39, 41, 42, 43, 45, 48, 49, 50, 51, 52, 54, 57, 63, 67, 71, 72, 73, 75, 81, 82, 83, 84, 85, 93, 94}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
