,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees
10,19,0.0,,,,,,,,,,,,,,,,,,,,
11,16,0.0,,,,,,,,,,,,,,,,,,,,
12,20,-0.0,,,,,,,,,,,,,,,,,,,,
13,4,-0.0,,,,,,,,,,,,,,,,,,,,
14,7;8;9;1_1;10_1;3_1;1_2;10_2;3_2,-0.0,,,,,,,,,,,,,,,,,,,,
15,14;12;2,0.0,,,,,,,,,,,,,,,,,,,,
16,6;13;15;5,-0.0,,,,,,,,,,,,,,,,,,,,
17,18,0.0,,,,,,,,,,,,,,,,,,,,
18,17,-0.0,,,,,,,,,,,,,,,,,,,,
19,7;8;9,-0.0,,,,,,,,,,,,,,,,,,,,
20,1_1;10_1;3_1;1_2;10_2;3_2,0.0,,,,,,,,,,,,,,,,,,,,
21,14;12,0.0,,,,,,,,,,,,,,,,,,,,
22,2,-0.0,,,,,,,,,,,,,,,,,,,,
23,6;13,0.0,,,,,,,,,,,,,,,,,,,,
24,15;5,-0.0,,,,,,,,,,,,,,,,,,,,
25,7;8,-0.0,,,,,,,,,,,,,,,,,,,,
26,9,-0.0,,,,,,,,,,,,,,,,,,,,
27,1_1;10_1;3_1,0.0,,,,,,,,,,,,,,,,,,,,
28,1_2;10_2;3_2,-0.0,,,,,,,,,,,,,,,,,,,,
29,14,0.0,,,,,,,,,,,,,,,,,,,,
30,12,-0.0,,,,,,,,,,,,,,,,,,,,
31,6,0.0,,,,,,,,,,,,,,,,,,,,
32,13,0.0,,,,,,,,,,,,,,,,,,,,
33,15,-0.0,,,,,,,,,,,,,,,,,,,,
34,5,-0.0,,,,,,,,,,,,,,,,,,,,
35,7,0.0,,,,,,,,,,,,,,,,,,,,
36,8,0.0,,,,,,,,,,,,,,,,,,,,
37,1_1;10_1,-0.0,,,,,,,,,,,,,,,,,,,,
38,3_1,0.0,,,,,,,,,,,,,,,,,,,,
39,1_2;10_2,0.0,,,,,,,,,,,,,,,,,,,,
40,3_2,0.0,,,,,,,,,,,,,,,,,,,,
41,1_1,1.0,1.0,{50},,,,,,,,,,,,,,,,,,
42,10_1,0.0,,,,,,,,,,,,,,,,,,,,
43,1_2,0.0,,,,,,,,,,,,,,,,,,,,
44,10_2,0.0,,,,,,,,,,,,,,,,,,,,
