,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees,Level 14 support,Level 14 trees,Level 15 support,Level 15 trees,Level 16 support,Level 16 trees,Level 17 support,Level 17 trees,Level 18 support,Level 18 trees,Level 19 support,Level 19 trees,Level 20 support,Level 20 trees,Level 21 support,Level 21 trees,Level 22 support,Level 22 trees,Level 23 support,Level 23 trees,Level 24 support,Level 24 trees,Level 25 support,Level 25 trees,Level 26 support,Level 26 trees,Level 27 support,Level 27 trees,Level 28 support,Level 28 trees,Level 29 support,Level 29 trees,Level 30 support,Level 30 trees,Level 31 support,Level 31 trees,Level 32 support,Level 32 trees,Level 33 support,Level 33 trees,Level 34 support,Level 34 trees,Level 35 support,Level 35 trees,Level 36 support,Level 36 trees,Level 37 support,Level 37 trees,Level 38 support,Level 38 trees,Level 39 support,Level 39 trees,Level 40 support,Level 40 trees,Level 41 support,Level 41 trees,Level 42 support,Level 42 trees,Level 43 support,Level 43 trees,Level 44 support,Level 44 trees,Level 45 support,Level 45 trees,Level 46 support,Level 46 trees,Level 47 support,Level 47 trees,Level 48 support,Level 48 trees,Level 49 support,Level 49 trees,Level 50 support,Level 50 trees,Level 51 support,Level 51 trees,Level 52 support,Level 52 trees,Level 53 support,Level 53 trees,Level 54 support,Level 54 trees,Level 55 support,Level 55 trees,Level 56 support,Level 56 trees
14,7;8;9;1;10;3,3.0,38.0,"{1, 5, 6, 12, 14, 15, 17, 18, 20, 24, 33, 34, 37, 38, 45, 49, 50, 51, 53, 54, 57, 60, 61, 63, 64, 68, 71, 75, 76, 80, 81, 85, 86, 88, 91, 92, 95, 97}",8.0,"{64, 1, 34, 33, 38, 71, 15, 81}",1.0,{15},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14;12;2,2.0,41.0,"{1, 4, 5, 6, 9, 10, 13, 17, 18, 19, 20, 21, 22, 24, 26, 27, 29, 30, 33, 34, 37, 39, 40, 45, 49, 50, 53, 54, 55, 57, 60, 63, 68, 69, 71, 78, 79, 80, 86, 88, 97}",3.0,"{1, 34, 33}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6;13;15;5,1.0,53.0,"{1, 2, 3, 5, 6, 9, 10, 12, 13, 15, 17, 20, 22, 23, 24, 27, 30, 32, 33, 34, 37, 38, 39, 40, 42, 45, 49, 50, 51, 52, 54, 57, 59, 60, 61, 63, 64, 66, 68, 69, 71, 72, 76, 77, 79, 80, 82, 84, 85, 88, 92, 95, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,2.0,6.0,"{68, 74, 75, 44, 15, 57}",3.0,"{74, 75, 15}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,17,2.0,15.0,"{96, 65, 3, 36, 37, 9, 41, 75, 81, 50, 84, 21, 54, 88, 30}",2.0,"{50, 75}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7;8;9,1.0,19.0,"{1, 5, 12, 20, 33, 50, 53, 57, 60, 61, 63, 64, 68, 71, 76, 80, 81, 86, 95}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1;10;3,2.0,9.0,"{97, 34, 68, 38, 17, 18, 51, 85, 54}",1.0,{51},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,14;12,1.0,20.0,"{1, 4, 5, 6, 9, 13, 17, 18, 20, 22, 29, 33, 37, 49, 53, 57, 59, 68, 78, 79}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2,2.0,17.0,"{33, 97, 71, 40, 88, 10, 79, 80, 49, 18, 19, 50, 55, 24, 27, 60, 30}",3.0,"{40, 49, 88}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,6;13,1.0,31.0,"{2, 13, 15, 17, 20, 22, 24, 27, 38, 39, 40, 42, 45, 49, 52, 54, 57, 60, 61, 64, 66, 68, 69, 71, 72, 77, 79, 80, 85, 88, 95}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
