,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees,Level 14 support,Level 14 trees,Level 15 support,Level 15 trees,Level 16 support,Level 16 trees,Level 17 support,Level 17 trees,Level 18 support,Level 18 trees,Level 19 support,Level 19 trees,Level 20 support,Level 20 trees,Level 21 support,Level 21 trees,Level 22 support,Level 22 trees,Level 23 support,Level 23 trees,Level 24 support,Level 24 trees,Level 25 support,Level 25 trees,Level 26 support,Level 26 trees,Level 27 support,Level 27 trees,Level 28 support,Level 28 trees,Level 29 support,Level 29 trees,Level 30 support,Level 30 trees,Level 31 support,Level 31 trees
12,20,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7;8;9;1;10;3,2.0,52.0,"{1, 2, 3, 4, 5, 7, 10, 12, 13, 14, 15, 16, 20, 21, 25, 26, 27, 29, 30, 31, 38, 39, 40, 41, 47, 48, 49, 50, 53, 56, 58, 61, 63, 65, 66, 69, 71, 74, 75, 76, 78, 81, 83, 85, 86, 88, 89, 91, 92, 93, 96, 97}",21.0,"{3, 5, 7, 10, 14, 16, 20, 27, 48, 56, 58, 63, 65, 66, 69, 74, 75, 78, 83, 92, 93}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14;12;2,2.0,21.0,"{1, 2, 7, 11, 14, 27, 28, 29, 41, 42, 45, 50, 58, 60, 65, 70, 75, 76, 79, 86, 89}",5.0,"{2, 7, 89, 27, 29}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6;13;15;5,1.0,37.0,"{1, 2, 3, 5, 12, 13, 14, 15, 17, 20, 21, 28, 35, 36, 45, 46, 47, 49, 61, 63, 65, 68, 70, 71, 74, 76, 78, 80, 83, 86, 88, 89, 90, 91, 94, 97, 98}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,17,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7;8;9,1.0,5.0,"{74, 89, 92, 29, 30}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1;10;3,1.0,58.0,"{1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 17, 21, 23, 25, 26, 27, 28, 29, 30, 31, 35, 38, 39, 40, 41, 45, 46, 47, 49, 50, 51, 53, 58, 59, 61, 63, 65, 68, 69, 71, 74, 76, 78, 81, 85, 86, 88, 89, 90, 91, 92, 94, 96, 97, 98}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,14;12,1.0,11.0,"{65, 58, 70, 9, 11, 76, 14, 85, 24, 26, 29}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2,1.0,12.0,"{36, 9, 41, 44, 45, 50, 20, 21, 89, 27, 28, 63}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,6;13,2.0,20.0,"{12, 13, 15, 20, 28, 36, 45, 47, 49, 58, 61, 68, 70, 71, 80, 83, 89, 92, 94, 98}",17.0,"{98, 68, 70, 71, 12, 13, 45, 15, 47, 49, 80, 83, 20, 89, 28, 61, 94}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,15;5,2.0,26.0,"{1, 3, 5, 8, 12, 14, 15, 17, 21, 24, 28, 29, 33, 46, 61, 63, 65, 68, 74, 78, 83, 86, 89, 90, 91, 97}",23.0,"{1, 3, 5, 8, 12, 14, 15, 17, 21, 28, 29, 33, 46, 61, 63, 68, 74, 78, 83, 86, 90, 91, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,7;8,1.0,2.0,"{74, 29}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
