,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees,Level 14 support,Level 14 trees,Level 15 support,Level 15 trees,Level 16 support,Level 16 trees,Level 17 support,Level 17 trees,Level 18 support,Level 18 trees,Level 19 support,Level 19 trees,Level 20 support,Level 20 trees,Level 21 support,Level 21 trees,Level 22 support,Level 22 trees,Level 23 support,Level 23 trees,Level 24 support,Level 24 trees,Level 25 support,Level 25 trees,Level 26 support,Level 26 trees,Level 27 support,Level 27 trees,Level 28 support,Level 28 trees,Level 29 support,Level 29 trees,Level 30 support,Level 30 trees,Level 31 support,Level 31 trees,Level 32 support,Level 32 trees
0,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5;18;17;19;16;20,3.0,55.0,"{1, 2, 5, 6, 7, 8, 11, 14, 18, 20, 25, 26, 29, 30, 31, 33, 38, 39, 40, 42, 46, 47, 48, 49, 51, 52, 56, 57, 58, 60, 61, 63, 64, 65, 66, 68, 69, 70, 73, 74, 77, 78, 80, 82, 83, 85, 86, 87, 88, 89, 90, 91, 92, 93, 95}",21.0,"{14, 25, 29, 30, 33, 38, 42, 46, 49, 56, 58, 60, 61, 66, 70, 73, 77, 85, 86, 89, 90}",2.0,"{89, 77}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5,3.0,77.0,"{1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 38, 39, 41, 42, 43, 44, 46, 47, 48, 49, 52, 54, 55, 56, 57, 58, 59, 60, 61, 62, 64, 65, 66, 68, 69, 70, 72, 73, 74, 75, 76, 77, 79, 80, 81, 82, 85, 86, 87, 88, 89, 90, 91, 93, 94, 97}",65.0,"{1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 16, 18, 20, 22, 23, 24, 26, 28, 29, 30, 31, 32, 33, 34, 35, 38, 39, 42, 43, 44, 46, 47, 49, 52, 55, 57, 59, 60, 61, 62, 65, 66, 68, 69, 70, 72, 73, 74, 76, 77, 79, 80, 81, 82, 85, 86, 87, 88, 89, 90, 91, 93, 94}",42.0,"{1, 2, 3, 4, 5, 10, 11, 12, 16, 18, 20, 22, 24, 29, 31, 32, 35, 39, 42, 43, 46, 52, 55, 59, 65, 69, 72, 73, 74, 76, 77, 79, 80, 81, 82, 87, 88, 89, 90, 91, 93, 94}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18;17;19;16;20,3.0,38.0,"{4, 6, 9, 10, 14, 16, 17, 25, 26, 27, 28, 29, 30, 33, 35, 37, 38, 39, 46, 50, 51, 54, 55, 57, 58, 61, 63, 67, 69, 75, 77, 85, 86, 87, 90, 92, 93, 95}",27.0,"{4, 9, 10, 14, 16, 17, 25, 26, 27, 28, 35, 37, 46, 50, 51, 54, 57, 61, 63, 67, 69, 77, 85, 86, 87, 90, 92}",8.0,"{37, 77, 46, 85, 87, 26, 92, 61}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4;7;8;9;1;10;3;14;12;2;6;13;15;5,1.0,60.0,"{1, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 18, 22, 23, 24, 27, 28, 29, 30, 31, 32, 34, 35, 36, 38, 39, 40, 41, 42, 44, 48, 49, 51, 52, 54, 55, 57, 58, 61, 62, 64, 65, 66, 68, 69, 72, 74, 75, 76, 77, 79, 85, 87, 89, 90, 91, 93, 94, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18;17;19,1.0,25.0,"{2, 4, 14, 17, 25, 26, 27, 38, 40, 46, 50, 51, 54, 57, 60, 61, 63, 67, 71, 75, 77, 83, 87, 93, 95}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16;20,1.0,24.0,"{4, 9, 10, 14, 17, 25, 26, 28, 29, 30, 35, 37, 39, 50, 55, 58, 69, 74, 77, 78, 85, 90, 92, 95}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4;7;8;9;1;10;3,1.0,5.0,"{6, 72, 23, 55, 89}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14;12;2;6;13;15;5,2.0,50.0,"{1, 2, 4, 5, 7, 8, 10, 12, 13, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 34, 35, 39, 41, 42, 43, 46, 47, 52, 54, 55, 57, 61, 62, 65, 66, 68, 72, 74, 80, 82, 85, 87, 88, 89, 90, 93, 94, 97}",28.0,"{1, 4, 5, 7, 8, 13, 22, 23, 24, 25, 26, 31, 35, 39, 42, 43, 46, 47, 52, 54, 55, 65, 68, 80, 85, 88, 89, 90}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18;17,3.0,17.0,"{2, 67, 4, 68, 71, 75, 16, 17, 50, 51, 83, 54, 86, 25, 26, 93, 95}",13.0,"{2, 4, 68, 71, 75, 16, 83, 54, 86, 25, 26, 93, 95}",2.0,"{25, 4}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,19,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,16,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,2.0,16.0,"{32, 1, 33, 66, 36, 69, 90, 10, 15, 80, 49, 81, 22, 89, 58, 62}",3.0,"{89, 81, 58}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7;8;9;1;10;3,2.0,63.0,"{1, 3, 4, 5, 6, 8, 10, 11, 12, 15, 18, 20, 21, 23, 24, 25, 26, 27, 28, 31, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 46, 48, 49, 51, 52, 54, 55, 57, 59, 60, 62, 64, 65, 66, 69, 72, 73, 74, 75, 77, 79, 81, 82, 85, 86, 87, 88, 89, 90, 91, 93, 94, 97}",26.0,"{1, 3, 4, 6, 10, 12, 20, 23, 31, 39, 40, 43, 46, 55, 57, 62, 64, 65, 66, 69, 72, 79, 87, 89, 93, 94}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14;12;2,1.0,19.0,"{10, 21, 22, 23, 25, 35, 42, 43, 46, 47, 57, 61, 65, 66, 68, 74, 80, 88, 89}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6;13;15;5,2.0,36.0,"{1, 2, 4, 5, 7, 8, 12, 13, 18, 24, 26, 27, 29, 30, 31, 32, 34, 39, 41, 43, 46, 47, 52, 54, 55, 60, 61, 62, 65, 72, 74, 80, 85, 89, 90, 97}",13.0,"{65, 34, 97, 5, 41, 43, 46, 18, 89, 26, 27, 29, 31}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,17,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7;8;9,1.0,6.0,"{64, 66, 42, 79, 94, 31}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
