,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees
0,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5;18;17;19;16;20,6.0,76.0,"{1, 2, 3, 4, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49, 50, 51, 52, 53, 55, 56, 59, 60, 61, 62, 63, 65, 66, 67, 68, 69, 70, 71, 72, 73, 75, 76, 77, 79, 80, 81, 82, 83, 88, 89, 91, 92, 93, 94, 95, 97, 98}",68.0,"{1, 3, 4, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 39, 40, 41, 42, 43, 44, 46, 48, 49, 50, 51, 52, 53, 56, 59, 60, 61, 62, 63, 65, 66, 67, 68, 69, 70, 71, 72, 73, 75, 76, 77, 79, 80, 81, 82, 88, 89, 91, 92, 93, 94, 97, 98}",59.0,"{1, 3, 4, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 23, 25, 26, 27, 28, 30, 31, 32, 33, 35, 39, 40, 41, 43, 46, 48, 49, 50, 51, 52, 53, 56, 59, 60, 61, 62, 63, 66, 67, 68, 72, 73, 75, 76, 77, 79, 80, 81, 82, 88, 89, 91, 92, 93, 94, 97}",44.0,"{1, 3, 4, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 23, 25, 26, 27, 28, 30, 32, 35, 40, 41, 43, 46, 49, 50, 52, 53, 59, 60, 62, 66, 72, 73, 75, 76, 77, 79, 80, 81, 82, 92, 93}",28.0,"{1, 3, 4, 8, 9, 10, 11, 13, 15, 16, 23, 25, 28, 35, 40, 41, 49, 50, 52, 53, 60, 66, 72, 73, 79, 80, 81, 82}",13.0,"{1, 40, 9, 11, 79, 16, 49, 50, 80, 52, 23, 25, 28}",,,,,,,,,,,,,,,,
1,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18;17;19;16;20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4;7;8;9;1;10;3;14;12;2;6;13;15;5,3.0,48.0,"{1, 3, 9, 10, 11, 13, 14, 15, 16, 17, 19, 23, 25, 26, 27, 28, 30, 31, 32, 35, 38, 41, 42, 43, 49, 50, 51, 54, 55, 56, 60, 62, 64, 65, 67, 68, 69, 70, 71, 75, 79, 80, 83, 86, 87, 90, 91, 94}",31.0,"{3, 9, 10, 13, 17, 23, 26, 27, 30, 32, 38, 41, 42, 49, 50, 54, 56, 60, 62, 64, 65, 67, 70, 71, 75, 79, 80, 86, 87, 90, 94}",21.0,"{13, 17, 23, 27, 30, 32, 38, 42, 49, 50, 54, 56, 60, 64, 65, 67, 71, 75, 80, 86, 90}",,,,,,,,,,,,,,,,,,,,,,
5,18;17;19,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16;20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4;7;8;9;1;10;3,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14;12;2;6;13;15;5,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18;17,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,19,1.0,10.0,"{40, 11, 13, 78, 49, 18, 50, 83, 55, 23}",,,,,,,,,,,,,,,,,,,,,,,,,,
11,16,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7;8;9;1;10;3,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14;12;2,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6;13;15;5,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,1.0,11.0,"{32, 1, 33, 71, 40, 10, 11, 13, 77, 83, 28}",,,,,,,,,,,,,,,,,,,,,,,,,,
18,17,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7;8;9,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1;10;3,1.0,73.0,"{1, 2, 4, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 37, 38, 40, 42, 43, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 58, 60, 61, 62, 64, 65, 66, 67, 68, 69, 70, 71, 72, 75, 80, 81, 82, 83, 84, 86, 87, 89, 90, 91, 92, 93, 94, 95, 96}",,,,,,,,,,,,,,,,,,,,,,,,,,
21,14;12,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,6;13,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,15;5,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,7;8,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,9,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1;10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,14,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,12,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,6,1.0,6.0,"{37, 15, 80, 81, 53, 55}",,,,,,,,,,,,,,,,,,,,,,,,,,
32,13,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,15,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,5,1.0,5.0,"{1, 72, 73, 18, 83}",,,,,,,,,,,,,,,,,,,,,,,,,,
35,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
