,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees,Level 14 support,Level 14 trees,Level 15 support,Level 15 trees,Level 16 support,Level 16 trees,Level 17 support,Level 17 trees,Level 18 support,Level 18 trees,Level 19 support,Level 19 trees,Level 20 support,Level 20 trees,Level 21 support,Level 21 trees,Level 22 support,Level 22 trees,Level 23 support,Level 23 trees,Level 24 support,Level 24 trees,Level 25 support,Level 25 trees,Level 26 support,Level 26 trees,Level 27 support,Level 27 trees,Level 28 support,Level 28 trees,Level 29 support,Level 29 trees,Level 30 support,Level 30 trees,Level 31 support,Level 31 trees
0,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5;18;17;19;16;20,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5,4.0,68.0,"{1, 2, 3, 6, 7, 9, 10, 11, 12, 13, 15, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 37, 38, 39, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51, 52, 54, 55, 56, 57, 58, 63, 65, 66, 67, 69, 70, 71, 72, 73, 75, 76, 78, 80, 81, 82, 83, 84, 85, 90, 93, 94, 95, 96, 97, 98}",60.0,"{1, 2, 3, 6, 9, 10, 11, 15, 19, 20, 21, 23, 24, 25, 26, 29, 30, 31, 32, 37, 38, 39, 41, 42, 43, 45, 46, 48, 49, 50, 51, 52, 54, 56, 57, 58, 63, 65, 66, 67, 69, 70, 71, 72, 73, 75, 76, 78, 80, 81, 82, 83, 84, 85, 90, 93, 95, 96, 97, 98}",44.0,"{1, 2, 3, 6, 10, 11, 15, 19, 21, 25, 26, 29, 32, 37, 38, 39, 41, 42, 43, 45, 46, 48, 49, 52, 54, 58, 65, 66, 70, 71, 72, 73, 75, 78, 80, 81, 82, 83, 84, 90, 93, 95, 96, 98}",5.0,"{32, 83, 54, 58, 29}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18;17;19;16;20,2.0,38.0,"{1, 2, 5, 9, 11, 12, 14, 16, 17, 18, 20, 29, 31, 33, 36, 39, 41, 42, 47, 48, 50, 52, 54, 56, 61, 63, 64, 65, 72, 76, 77, 80, 81, 82, 88, 93, 94, 95}",4.0,"{33, 42, 29, 41}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4;7;8;9;1;10;3;14;12;2;6;13;15;5,1.0,63.0,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 19, 20, 22, 23, 24, 27, 28, 29, 30, 31, 32, 33, 38, 39, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 54, 55, 56, 58, 60, 62, 63, 65, 67, 69, 72, 73, 75, 76, 78, 81, 82, 83, 84, 89, 93, 95, 96, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18;17;19,1.0,21.0,"{1, 2, 6, 9, 17, 29, 31, 42, 46, 63, 64, 65, 72, 79, 80, 81, 82, 90, 93, 95, 96}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16;20,2.0,21.0,"{3, 5, 6, 10, 18, 22, 27, 33, 41, 42, 46, 47, 50, 56, 63, 64, 88, 89, 90, 95, 96}",16.0,"{64, 96, 3, 5, 6, 41, 10, 42, 46, 47, 18, 50, 56, 89, 88, 63}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4;7;8;9;1;10;3,2.0,45.0,"{3, 6, 9, 10, 11, 13, 15, 19, 20, 22, 23, 24, 26, 28, 29, 31, 32, 33, 37, 38, 41, 42, 43, 49, 51, 52, 54, 57, 58, 60, 63, 65, 66, 69, 70, 75, 76, 80, 81, 82, 90, 94, 95, 96, 97}",32.0,"{3, 9, 11, 13, 19, 20, 22, 23, 26, 28, 29, 32, 38, 41, 51, 52, 54, 57, 60, 63, 65, 66, 69, 70, 75, 76, 80, 81, 90, 94, 95, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14;12;2;6;13;15;5,2.0,39.0,"{1, 6, 11, 19, 20, 21, 22, 23, 25, 26, 27, 29, 30, 32, 38, 39, 42, 43, 46, 48, 49, 50, 52, 54, 60, 63, 67, 72, 73, 75, 80, 81, 82, 83, 84, 85, 93, 94, 98}",5.0,"{38, 6, 54, 60, 93}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18;17,2.0,21.0,"{1, 6, 9, 16, 20, 29, 31, 36, 46, 52, 63, 64, 65, 72, 76, 79, 81, 82, 93, 95, 96}",19.0,"{6, 9, 20, 29, 31, 36, 46, 52, 63, 64, 65, 72, 76, 79, 81, 82, 93, 95, 96}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,19,1.0,8.0,"{1, 68, 42, 14, 48, 21, 90, 29}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,16,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20,1.0,3.0,"{33, 50, 5}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7;8;9;1;10;3,2.0,27.0,"{3, 11, 13, 15, 22, 24, 26, 29, 31, 33, 37, 38, 46, 48, 49, 54, 57, 58, 63, 66, 75, 76, 80, 81, 82, 94, 96}",11.0,"{96, 33, 66, 37, 76, 15, 82, 22, 24, 58, 29}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
