,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees,Level 14 support,Level 14 trees,Level 15 support,Level 15 trees,Level 16 support,Level 16 trees,Level 17 support,Level 17 trees,Level 18 support,Level 18 trees,Level 19 support,Level 19 trees,Level 20 support,Level 20 trees,Level 21 support,Level 21 trees,Level 22 support,Level 22 trees,Level 23 support,Level 23 trees,Level 24 support,Level 24 trees,Level 25 support,Level 25 trees,Level 26 support,Level 26 trees,Level 27 support,Level 27 trees,Level 28 support,Level 28 trees,Level 29 support,Level 29 trees,Level 30 support,Level 30 trees,Level 31 support,Level 31 trees
0,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5;18;17;19;16;20,3.0,59.0,"{1, 2, 3, 4, 6, 7, 8, 9, 10, 13, 14, 15, 17, 18, 20, 22, 24, 27, 28, 30, 31, 33, 34, 37, 39, 41, 44, 46, 49, 50, 51, 52, 54, 56, 57, 59, 60, 61, 62, 63, 64, 65, 66, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 81, 88, 93, 95, 97}",34.0,"{1, 3, 6, 9, 14, 15, 17, 18, 28, 30, 33, 34, 37, 39, 41, 49, 50, 51, 57, 61, 62, 64, 66, 68, 70, 71, 72, 75, 76, 77, 78, 88, 93, 95}",12.0,"{33, 3, 68, 37, 6, 72, 41, 77, 15, 49, 51, 57}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5,3.0,71.0,"{1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 14, 15, 17, 18, 19, 20, 21, 23, 24, 26, 27, 29, 30, 32, 33, 34, 37, 38, 39, 40, 41, 42, 44, 45, 49, 50, 51, 53, 54, 55, 56, 57, 59, 60, 61, 62, 63, 64, 66, 67, 68, 69, 71, 72, 75, 76, 77, 78, 79, 80, 81, 82, 84, 85, 86, 88, 91, 92, 94, 95, 97}",67.0,"{1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 15, 17, 18, 19, 21, 23, 24, 26, 27, 29, 30, 32, 33, 34, 37, 38, 39, 40, 41, 42, 44, 45, 49, 50, 51, 53, 54, 55, 56, 57, 59, 60, 61, 64, 66, 67, 68, 69, 71, 72, 75, 76, 77, 78, 79, 80, 81, 82, 84, 85, 86, 88, 91, 92, 94, 95, 97}",45.0,"{1, 2, 4, 5, 6, 9, 10, 12, 15, 17, 24, 27, 29, 30, 33, 34, 37, 38, 39, 40, 42, 45, 49, 50, 51, 53, 54, 57, 59, 60, 64, 69, 71, 72, 76, 79, 80, 81, 82, 84, 88, 91, 92, 95, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18;17;19;16;20,1.0,35.0,"{1, 3, 6, 14, 16, 17, 19, 21, 22, 24, 31, 37, 39, 41, 44, 46, 47, 64, 65, 66, 68, 70, 72, 73, 74, 75, 77, 81, 83, 88, 89, 93, 94, 96, 98}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4;7;8;9;1;10;3;14;12;2;6;13;15;5,3.0,72.0,"{1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 29, 30, 32, 33, 34, 37, 38, 39, 40, 41, 42, 44, 45, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 60, 61, 62, 63, 64, 66, 67, 68, 69, 71, 72, 75, 76, 77, 78, 79, 80, 82, 84, 85, 86, 88, 91, 92, 95, 97}",26.0,"{1, 6, 9, 13, 15, 17, 18, 19, 20, 22, 23, 24, 37, 40, 45, 49, 51, 52, 57, 61, 63, 64, 68, 77, 88, 92}",7.0,"{40, 13, 45, 18, 19, 20, 63}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18;17;19,2.0000000000000004,25.0,"{1, 3, 9, 15, 16, 17, 21, 28, 40, 41, 44, 47, 50, 54, 64, 74, 75, 76, 77, 81, 83, 84, 88, 90, 94}",10.0,"{1, 3, 40, 9, 41, 44, 77, 16, 83, 94}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16;20,2.0,23.0,"{3, 6, 7, 19, 29, 30, 31, 37, 39, 41, 44, 46, 47, 49, 61, 64, 68, 70, 72, 73, 75, 88, 93}",14.0,"{64, 3, 68, 37, 7, 39, 41, 73, 75, 44, 47, 19, 93, 29}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4;7;8;9;1;10;3,3.0,43.0,"{1, 5, 6, 10, 12, 14, 15, 17, 18, 20, 23, 33, 34, 37, 38, 42, 45, 49, 50, 51, 52, 53, 57, 60, 61, 63, 64, 68, 69, 71, 72, 76, 78, 79, 80, 81, 82, 85, 86, 88, 92, 95, 97}",36.0,"{1, 5, 12, 15, 17, 18, 20, 23, 33, 34, 37, 38, 42, 49, 50, 52, 53, 57, 60, 61, 63, 64, 68, 71, 72, 76, 78, 79, 80, 81, 82, 85, 86, 88, 95, 97}",3.0,"{57, 38, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14;12;2;6;13;15;5,1.0,55.0,"{1, 2, 3, 5, 6, 9, 10, 12, 13, 15, 17, 18, 19, 20, 21, 22, 23, 24, 27, 29, 30, 32, 33, 37, 38, 39, 40, 42, 45, 49, 50, 51, 52, 53, 54, 57, 60, 61, 63, 64, 66, 68, 69, 71, 72, 76, 77, 78, 79, 80, 85, 88, 92, 95, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18;17,2.0,21.0,"{3, 9, 15, 21, 30, 36, 37, 41, 44, 47, 50, 54, 57, 65, 68, 74, 75, 81, 84, 88, 96}",15.0,"{96, 3, 68, 9, 41, 74, 75, 15, 81, 50, 84, 21, 54, 57, 30}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
